tt0029583,Snow White and the Seven Dwarfs,"Animation, Family, Fantasy"
tt2848292,Pitch Perfect 2,"Comedy, Music"
tt0099348,Dances with Wolves,"Adventure, Drama, Western"
tt0112462,Batman Forever,"Action, Adventure"
tt0106977,The Fugitive,"Action, Crime, Drama"
tt1663202,The Revenant,"Action, Adventure, Drama"
tt0240772,Ocean's Eleven,"Crime, Thriller"
tt0462538,The Simpsons Movie,"Animation, Adventure, Comedy"
tt0207201,What Women Want,"Comedy, Fantasy, Romance"
tt0177971,The Perfect Storm,"Action, Adventure, Drama"
tt0443272,Lincoln,"Biography, Drama, History"
tt0119528,Liar Liar,"Comedy, Fantasy"
tt0163025,Jurassic Park III,"Action, Adventure, Sci-Fi"
tt0800369,Thor,"Action, Adventure, Fantasy"
tt0117060,Mission: Impossible,"Action, Adventure, Thriller"
tt0478970,Ant-Man,"Action, Adventure, Comedy"
tt0133152,Planet of the Apes,"Action, Adventure, Sci-Fi"
tt0479952,Madagascar: Escape 2 Africa,"Animation, Adventure, Comedy"
tt0458525,X-Men Origins: Wolverine,"Action, Adventure, Sci-Fi"
tt0087469,Indiana Jones and the Temple of Doom,"Action, Adventure"
tt0092099,Top Gun,"Action, Drama"
tt0386588,Hitch,"Comedy, Romance"
tt1409024,Men in Black 3,"Action, Adventure, Comedy"
tt0100405,Pretty Woman,"Comedy, Romance"
tt2224026,Home,"Animation, Adventure, Comedy"
tt1078912,Night at the Museum: Battle of the Smithsonian,"Adventure, Comedy, Family"
tt0084805,Tootsie,"Comedy, Drama, Romance"
tt1646971,How to Train Your Dragon 2,"Animation, Action, Adventure"
tt1318514,Rise of the Planet of the Apes,"Action, Drama, Sci-Fi"
tt0458339,Captain America: The First Avenger,"Action, Adventure, Sci-Fi"
tt1155076,The Karate Kid,"Action, Drama, Family"
tt0129387,There's Something About Mary,"Comedy, Romance"
tt0268380,Ice Age,"Animation, Adventure, Comedy"
tt0372183,The Bourne Supremacy,"Action, Mystery, Thriller"
tt5052448,Get Out,"Horror, Mystery, Thriller"
tt4116284,The Lego Batman Movie,"Animation, Action, Comedy"
tt6857112,Us,"Horror, Mystery, Thriller"
tt3874544,The Boss Baby,"Animation, Adventure, Comedy"
tt0090555,'Crocodile' Dundee,"Action, Adventure, Comedy"
tt0319343,Elf,"Comedy, Family, Fantasy"
tt3104988,Crazy Rich Asians,"Comedy, Drama, Romance"
tt1485796,The Greatest Showman,"Biography, Drama, Musical"
tt6806448,Fast & Furious Presents: Hobbs & Shaw,"Action, Adventure, Thriller"
tt0112384,Apollo 13,"Adventure, Drama, History"
tt0104431,Home Alone 2: Lost in New York,"Adventure, Comedy, Crime"
tt0368891,National Treasure,"Action, Adventure, Mystery"
tt0118571,Air Force One,"Action, Drama, Thriller"
tt0095953,Rain Man,Drama
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy"
tt1104001,Tron,"Action, Adventure, Sci-Fi"
tt5028340,Mary Poppins Returns,"Comedy, Family, Fantasy"
tt0133093,The Matrix,"Action, Sci-Fi"
tt1403865,True Grit,"Drama, Western"
tt0120855,Tarzan,"Animation, Adventure, Family"
tt6146586,John Wick: Chapter 3 - Parabellum,"Action, Crime, Thriller"
tt0268978,A Beautiful Mind,"Biography, Drama"
tt0299658,Chicago,"Comedy, Crime, Musical"
tt1454029,The Help,Drama
tt2510894,Hotel Transylvania 2,"Animation, Comedy, Family"
tt4846340,Hidden Figures,"Biography, Drama, History"
