imdb_movies
id,title,genre
tt0010600,La bambola di carne,"Comedy, Fantasy"
tt0010635,The Roaring Road,"Comedy, Drama, Sport"
tt0010662,Scarlet Days,"Adventure, Romance, Western"
tt0010680,The Sentimental Bloke,"Drama, Romance"
tt0010726,"Il lago d'oro, ovvero I ragni","Adventure, Western"
tt0010755,Il canto del fiore rosso,"Drama, Romance"
tt0010806,Amore sulle labbra,"Comedy, Drama, Romance"
tt0010821,Un affare misterioso,"Fantasy, Horror, Mystery"
tt0010844,Victory,"Drama, Romance"
tt0010853,Wagon Tracks,Western
tt0010879,Quando le nuvole volano via,"Action, Comedy, Romance"
tt0010890,The Wicked Darling,"Drama, Crime"
tt0010925,Yankee Doodle in Berlin,Comedy
tt0010953,Algol - Tragödie der Macht,"Fantasy, Sci-Fi"
tt0010962,Anna Bolena,"Biography, Drama, Romance"
tt0010964,April Folly,"Drama, Crime"
tt0010969,L'atlantide,"Adventure, Fantasy, Mystery"
tt0011000,Pagine dal libro di Satana,Drama
tt0011130,Dr. Jekyll e Mr. Hyde,"Drama, Horror, Sci-Fi"
tt0011157,Erotikon,"Comedy, Romance"
tt0011173,Fante-Anne,"Crime, Drama, Romance"
tt0011193,The Flapper,Comedy
tt0011217,Il cammino nella notte,Drama
tt0011221,Genuine,Horror
tt0011237,Il Golem - Come venne al mondo,"Fantasy, Horror"
tt0011267,Headin' Home,"Biography, Comedy, Drama"
tt0011294,L'Hirondelle et la Mésange,Drama
tt0011302,La giustizia del mare,Drama
tt0011317,Humoresque,Drama
tt0011344,L'uomo dal coltello a serramanico,Drama
tt0011358,Just Pals,"Comedy, Drama, Western"
tt0011369,Der Klosterjäger,Drama
tt0011370,Klostret i Sendomir,Drama
tt0011371,Due sorelle,"Comedy, Romance"
tt0011387,The Last of the Mohicans,"Action, Adventure, Drama"
tt0011414,The Love Expert,"Comedy, Romance"
tt0011415,The Love Flower,Drama
tt0011439,Il segno di Zorro,"Adventure, Romance, Western"
tt0011440,Markens grøde,Drama
tt0011474,Un pulcino nella stoppa,"Adventure, Comedy, Romance"
tt0011513,Nomads of the North,Drama
tt0011588,Pollyanna,"Family, Comedy, Drama"
tt0011607,La vedova del pastore,"Comedy, Drama, Horror"
tt0011623,The Restless Sex,Drama
tt0011641,Romeo e giulietta sulla neve,Comedy
tt0011647,The Round-Up,"Comedy, Western"
tt0011652,The Saphead,Comedy
tt0011679,Sex,Drama
tt0011716,Something to Think About,Drama
tt0011723,"Die Spinnen, 2. Teil - Das Brillantenschiff",Adventure
tt0011741,Suds,"Comedy, Drama, Romance"
tt0011742,Sumurum,"Adventure, Drama, Romance"
tt0011753,Terror Island,Mystery
tt0011779,The Toll Gate,"Adventure, Drama, Western"
tt0011833,Von morgens bis mitternachts,"Drama, Thriller"
