1877832,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi"
0162222,Cast Away,"Adventure, Drama, Romance"
0070047,The Exorcist,Horror
1211837,Doctor Strange,"Action, Adventure, Fantasy"
0119567,The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi"
0974015,Justice League,"Action, Adventure, Fantasy"
1408101,Star Trek Into Darkness,"Action, Adventure, Sci-Fi"
3659388,The Martian,"Adventure, Drama, Sci-Fi"
0286106,Signs,"Drama, Mystery, Sci-Fi"
0448157,Hancock,"Action, Fantasy"
0440963,The Bourne Ultimatum,"Action, Mystery, Thriller"
3315342,Logan,"Action, Drama, Sci-Fi"
0266915,Rush Hour 2,"Action, Comedy, Crime"
4630562,The Fate of the Furious,"Action, Adventure, Crime"
0910970,WALL·E,"Animation, Adventure, Family"
2245084,Big Hero 6,"Animation, Action, Adventure"
0114709,Toy Story,"Animation, Adventure, Comedy"
4912910,Mission: Impossible - Fallout,"Action, Adventure, Thriller"
0465234,National Treasure: Book of Secrets,"Action, Adventure, Mystery"
1231580,Alvin and the Chipmunks: The Squeakquel,"Animation, Comedy, Family"
0107614,Mrs. Doubtfire,"Comedy, Drama, Family"
0101414,Beauty and the Beast,"Animation, Family, Fantasy"
1637725,Ted,Comedy
0360717,King Kong,"Action, Adventure, Drama"
0099653,Ghost,"Drama, Fantasy, Romance"
0892769,How to Train Your Dragon,"Animation, Action, Adventure"
0382625,The Da Vinci Code,"Mystery, Thriller"
0103639,Aladdin,"Animation, Adventure, Comedy"
0952640,Alvin and the Chipmunks,"Animation, Comedy, Family"
0120815,Saving Private Ryan,"Drama, War"
1727824,Bohemian Rhapsody,"Biography, Drama, Music"
5095030,Ant-Man and the Wasp,"Action, Adventure, Comedy"
1277953,Madagascar 3: Europe's Most Wanted,"Animation, Adventure, Comedy"
0441773,Kung Fu Panda,"Animation, Action, Adventure"
0120755,Mission: Impossible II,"Action, Adventure, Thriller"
1517451,A Star Is Born,"Drama, Music, Romance"
0290334,X2,"Action, Sci-Fi, Thriller"
1482459,The Lorax,"Animation, Adventure, Comedy"
3778644,Solo: A Star Wars Story,"Action, Adventure, Sci-Fi"
1270797,Venom,"Action, Adventure, Sci-Fi"
0295178,Austin Powers in Goldmember,"Action, Adventure, Comedy"
7349950,It Chapter Two,"Drama, Fantasy, Horror"
0088763,Back to the Future,"Adventure, Comedy, Sci-Fi"
0416449,300,"Action, Drama"
1596343,Fast Five,"Action, Adventure, Crime"
2380307,Coco,"Animation, Adventure, Family"
1229238,Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller"
0396269,Wedding Crashers,"Comedy, Romance"
0988045,Sherlock Holmes,"Action, Adventure, Mystery"
2103281,Dawn of the Planet of the Apes,"Action, Adventure, Drama"
0372784,Batman Begins,"Action, Adventure"
0367594,Charlie and the Chocolate Factory,"Adventure, Comedy, Family"
0382932,Ratatouille,"Animation, Adventure, Comedy"
1981115,Thor: The Dark World,"Action, Adventure, Fantasy"
0145660,Austin Powers: The Spy Who Shagged Me,"Action, Adventure, Comedy"
0103064,Terminator 2: Judgment Day,"Action, Sci-Fi"
1502397,Bad Boys for Life,"Action, Comedy, Crime"
1872181,The Amazing Spider-Man 2,"Action, Adventure, Sci-Fi"
0816711,World War Z,"Action, Adventure, Horror"
0209163,The Mummy Returns,"Action, Adventure, Fantasy"
0120591,Armageddon,"Action, Adventure, Sci-Fi"
1661199,Cinderella,"Drama, Family, Fantasy"
5848272,Ralph Breaks the Internet,"Animation, Adventure, Comedy"
0031381,Gone with the Wind,"Drama, History, Romance"
0398286,Tangled,"Animation, Adventure, Comedy"
0831387,Godzilla,"Action, Adventure, Sci-Fi"
0348150,Superman Returns,"Action, Sci-Fi"
2379713,Spectre,"Action, Adventure, Thriller"
0213149,Pearl Harbor,"Action, Drama, History"
0892782,Monsters vs. Aliens,"Animation, Action, Adventure"
0366548,Happy Feet,"Animation, Adventure, Comedy"
0097576,Indiana Jones and the Last Crusade,"Action, Adventure"
1080016,Ice Age: Dawn of the Dinosaurs,"Animation, Adventure, Comedy"
0438097,Ice Age: The Meltdown,"Animation, Adventure, Comedy"
2381249,Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller"
1099212,Twilight,"Drama, Fantasy, Romance"
0120912,Men in Black II,"Action, Adventure, Comedy"
0351283,Madagascar,"Animation, Adventure, Comedy"
2294449,22 Jump Street,"Action, Comedy, Crime"
1216475,Cars 2,"Animation, Adventure, Comedy"
1291150,Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy"
4633694,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure"
0077631,Grease,"Musical, Romance"
5013056,Dunkirk,"Action, Drama, History"
1772341,Wreck-It Ralph,"Animation, Adventure, Comedy"
6644200,A Quiet Place,"Drama, Horror, Sci-Fi"
0816692,Interstellar,"Adventure, Drama, Sci-Fi"
0172495,Gladiator,"Action, Adventure, Drama"
0338348,The Polar Express,"Animation, Adventure, Comedy"
0481499,The Croods,"Animation, Action, Adventure"
1515091,Sherlock Holmes: A Game of Shadows,"Action, Adventure, Mystery"
0319262,The Day After Tomorrow,"Action, Adventure, Sci-Fi"
0356910,Mr. & Mrs. Smith,"Action, Comedy, Crime"
0029583,Snow White and the Seven Dwarfs,"Animation, Family, Fantasy"
2848292,Pitch Perfect 2,"Comedy, Music"
0099348,Dances with Wolves,"Adventure, Drama, Western"
0112462,Batman Forever,"Action, Adventure"
0106977,The Fugitive,"Action, Crime, Drama"
1663202,The Revenant,"Action, Adventure, Drama"
0240772,Ocean's Eleven,"Crime, Thriller"
0462538,The Simpsons Movie,"Animation, Adventure, Comedy"
0207201,What Women Want,"Comedy, Fantasy, Romance"
0177971,The Perfect Storm,"Action, Adventure, Drama"
0443272,Lincoln,"Biography, Drama, History"
0119528,Liar Liar,"Comedy, Fantasy"
0163025,Jurassic Park III,"Action, Adventure, Sci-Fi"
0800369,Thor,"Action, Adventure, Fantasy"
0117060,Mission: Impossible,"Action, Adventure, Thriller"
0478970,Ant-Man,"Action, Adventure, Comedy"
0133152,Planet of the Apes,"Action, Adventure, Sci-Fi"
0479952,Madagascar: Escape 2 Africa,"Animation, Adventure, Comedy"
0458525,X-Men Origins: Wolverine,"Action, Adventure, Sci-Fi"
0087469,Indiana Jones and the Temple of Doom,"Action, Adventure"
0092099,Top Gun,"Action, Drama"
0386588,Hitch,"Comedy, Romance"
1409024,Men in Black 3,"Action, Adventure, Comedy"
0100405,Prey Woman,"Comedy, Romance"
2224026,Home,"Animation, Adventure, Comedy"
1078912,Night at the Museum: Bale of the Smithsonian,"Adventure, Comedy, Family"
0084805,Tootsie,"Comedy, Drama, Romance"
1646971,How to Train Your Dragon 2,"Animation, Action, Adventure"
1318514,Rise of the Planet of the Apes,"Action, Drama, Sci-Fi"
0458339,Captain America: The First Avenger,"Action, Adventure, Sci-Fi"
1155076,The Karate Kid,"Action, Drama, Family"
0129387,There's Something About Mary,"Comedy, Romance"
0268380,Ice Age,"Animation, Adventure, Comedy"
0372183,The Bourne Supremacy,"Action, Mystery, Thriller"
5052448,Get Out,"Horror, Mystery, Thriller"
4116284,The Lego Batman Movie,"Animation, Action, Comedy"
6857112,Us,"Horror, Mystery, Thriller"
3874544,The Boss Baby,"Animation, Adventure, Comedy"
0090555,'Crocodile' Dundee,"Action, Adventure, Comedy"
0319343,Elf,"Comedy, Family, Fantasy"
3104988,Crazy Rich Asians,"Comedy, Drama, Romance"
1485796,The Greatest Showman,"Biography, Drama, Musical"
6806448,Fast & Furious Presents: Hobbs & Shaw,"Action, Adventure, Thriller"
0112384,Apollo 13,"Adventure, Drama, History"
0104431,Home Alone 2: Lost in New York,"Adventure, Comedy, Crime"
0368891,National Treasure,"Action, Adventure, Mystery"
0118571,Air Force One,"Action, Drama, Thriller"
0095953,Rain Man,Drama
1790809,Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy"
1104001,Tron,"Action, Adventure, Sci-Fi"
5028340,Mary Poppins Returns,"Comedy, Family, Fantasy"
0133093,The Matrix,"Action, Sci-Fi"
1403865,True Grit,"Drama, Western"
0120855,Tarzan,"Animation, Adventure, Family"
6146586,John Wick: Chapter 3 - Parabellum,"Action, Crime, Thriller"
0268978,A Beautiful Mind,"Biography, Drama"
0299658,Chicago,"Comedy, Crime, Musical"
1454029,The Help,Drama
2510894,Hotel Transylvania 2,"Animation, Comedy, Family"
4846340,Hidden Figures,"Biography, Drama, History"
1478338,Bridesmaids,"Comedy, Romance"
0830515,Quantum of Solace,"Action, Adventure, Thriller"
0486946,Wild Hogs,"Action, Adventure, Comedy"
3731562,Kong: Skull Island,"Action, Adventure, Fantasy"
0094137,3 Men and a Baby,"Comedy, Drama, Family"
2267998,Gone Girl,"Drama, Mystery, Thriller"
5220122,Hotel Transylvania 3: Summer Vacation,"Animation, Adventure, Comedy"
0381061,Casino Royale,"Action, Adventure, Thriller"
0212338,Meet the Parents,"Comedy, Romance"
2322441,Fifty Shades of Grey,"Drama, Romance, Thriller"
1190080,2012,"Action, Adventure, Sci-Fi"
0102798,Robin Hood: Prince of Thieves,"Action, Adventure, Drama"
8946378,Knives Out,"Comedy, Crime, Drama"
1302011,Kung Fu Panda 2,"Animation, Action, Adventure"
0212985,Hannibal,"Crime, Drama, Thriller"
0264464,Catch Me If You Can,"Biography, Crime, Drama"
1041829,The Proposal,"Comedy, Drama, Romance"
0454921,The Pursuit of Happyness,"Biography, Drama"
0142342,Big Daddy,"Comedy, Drama"
0800320,Clash of the Titans,"Action, Adventure, Fantasy"
2279373,The SpongeBob Movie: Sponge Out of Water,"Animation, Action, Adventure"
0103776,Batman Returns,"Action, Crime, Fantasy"
1853728,Django Unchained,"Drama, Western"
0120623,A Bug's Life,"Animation, Adventure, Comedy"
4196776,Jason Bourne,"Action, Thriller"
1375670,Grown Ups,Comedy
0120484,The Waterboy,"Comedy, Sport"
1667889,Ice Age: Continental Drift,"Animation, Adventure, Comedy"
1398426,Straight Oua Compton,"Biography, Drama, History"
0246460,Die Another Day,"Action, Adventure, Thriller"
0307453,Shark Tale,"Animation, Adventure, Comedy"
2386490,How to Train Your Dragon: The Hidden World,"Animation, Action, Adventure"
2404463,The Heat,"Action, Comedy, Crime"
4123430,Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy"
1502407,Halloween,"Crime, Horror, Thriller"
0059742,The Sound of Music,"Biography, Drama, Family"
8579674,1917,"Drama, War"
5113040,The Secret Life of Pets 2,"Animation, Adventure, Comedy"
